cluster_id,typicality,fsc_0,fsc_1,fsc_2,fsc_3,fsc_4,fsc_5,fsc_6,fsc_7,fsc_8,fsc_9,fsc_10,fsc_11,fsc_12,fsc_13,fsc_14,fsc_15,fsc_16,fsc_17,fsc_18,fsc_19,fsc_20,fsc_21,fsc_22,fsc_23,fsc_24,fsc_25,fsc_26,fsc_27,fsc_28,fsc_29,fsc_30,fsc_31,fsc_32,fsc_33,fsc_34,fsc_35,fsc_36,fsc_37,fsc_38,fsc_39,fsc_40,fsc_41,fsc_42,fsc_43,fsc_44,fsc_45,fsc_46,fsc_47,fsc_48,fsc_49,fsc_50,fsc_51,fsc_52,fsc_53,fsc_54,fsc_55,fsc_56,fsc_57,fsc_58,fsc_59,fsc_60,fsc_61,fsc_62,fsc_63,fsc_64,fsc_65,fsc_66,fsc_67,fsc_68,fsc_69,fsc_70,fsc_71,fsc_72,fsc_73,fsc_74,fsc_75,fsc_76,fsc_77,fsc_78,fsc_79,fsc_80,fsc_81,fsc_82,fsc_83,fsc_84,fsc_85,fsc_86,fsc_87,fsc_88,fsc_89,fsc_90,fsc_91,fsc_92,fsc_93,fsc_94,fsc_95,fsc_96,fsc_97,fsc_98,fsc_99
0,0.001365550202935933,1.0,0.9995910594837262,0.9993967497194165,0.9992806840628509,0.9991859326599329,0.9989549943883276,0.9985657991021325,0.9979835134680136,0.9965360953984285,0.9931186694725029,0.9881013019079684,0.9838487194163861,0.9813496127946129,0.9794019831649834,0.9778077182940517,0.9754894556677891,0.9737249124579124,0.9717578479236813,0.9692878417508418,0.9660017985409655,0.9606398372615038,0.9533606969696967,0.9439494444444443,0.9327839130190798,0.9196992850729517,0.9042367283950615,0.8842162895622896,0.8626736526374857,0.8413525723905724,0.8204768198653198,0.7980148653198653,0.777173778338945,0.7579494343434345,0.7391100028058362,0.7218258350168352,0.710859943883277,0.7069599349046015,0.7065677598204265,0.7088279158249156,0.7131076734006734,0.7130115151515151,0.7092721778900111,0.699569074074074,0.6796554124579123,0.6501288877665543,0.6076694304152637,0.5465962390572388,0.47034698316498275,0.3852440505050504,0.29619468125701426,0.2028264590347919,0.0949726591309919,0.05426338097528561,0.031795244394053915,0.015846506447696803,0.008596333516571623,0.006273101765958898,0.0038926607343273906,0.0014837032456080056,0.002274931858265185,0.0016627482306053954,0.0028306924116447973,-0.00017156370965895685,-0.0006509763164525079,0.001494211960878642,0.0025057324950182244,0.0008065450422593236,0.0011864455209693561,0.002700732380494281,0.0008176298128678753,0.0002093903891522924,-0.0011410533910534133,-0.0009466667811905983,-0.00092021862617103,-0.00015197439245058668,-0.00014112554112550262,-0.00022715934858790645,0.0003416643761881903,-0.0001687149270482602,0.00016541892851416345,-0.0017016445635493458,-0.001004843216747983,-0.00018095180833273551,0.0005178491261824533,-8.351313589408675e-05,5.6244989578319725e-05,0.0015402918069584686,0.0011985392473487552,-7.340983531430711e-07,2.0834764882419823e-05,-0.00032701504844359565,0.0002648142421952082,-0.0009037798621131845,0.0009255840720126604,-0.0006617072081358021,-0.0018055320781511458,-0.001052585377585377,0.0005865239698573257,0.0015955249776678422,0.0024555555555555554
1,0.0026552365057087583,1.0,0.9993206484848484,0.9990903457431454,0.9981961434343435,0.9966924126984127,0.9952865194805197,0.9935253823953821,0.9905109792207791,0.9847435555555552,0.9731399959595961,0.9581974285714288,0.9438165950937956,0.9317796167388169,0.9210166354978353,0.9134462401154401,0.9072484704184703,0.9023660715728715,0.897132180952381,0.8912448600288602,0.8816061119769121,0.8702991572871568,0.8526481826839827,0.8279145985569983,0.7956459177489178,0.7537191036075035,0.7074052236652236,0.6572146164502163,0.6042465619047617,0.550584499278499,0.49948594920634926,0.4555036796536797,0.4188949792207792,0.38752675209235193,0.36204175613275624,0.3440239855699856,0.3339113997113997,0.32671827186147184,0.32686592582972585,0.32981467705627704,0.3344355598845598,0.3394834314574316,0.34255008860028874,0.34299125598845615,0.33803321067821085,0.3263895139971141,0.3064751125541125,0.28260626955266954,0.25458002077922065,0.222331279076479,0.18784599711399702,0.15620305916305902,0.13704855081426484,0.12081813234384653,0.10592054038931581,0.09262176429013147,0.08095561592602402,0.07022371057513901,0.06079006184291887,0.05324308419471683,0.04708579291456834,0.04115162617427919,0.03631590688223337,0.031876630738875616,0.02835468474835818,0.024963603380746206,0.022466643401949517,0.019787513325676576,0.016991236563889605,0.014957859351532793,0.013351885620048872,0.012282864210619289,0.010844910327767451,0.009407115175074348,0.008439934917690002,0.007431798450982111,0.006821025414494798,0.006520811320199082,0.006049236387195567,0.005439468150896715,0.005204930058603538,0.005244406749712874,0.004661710398445089,0.004624994257443251,0.004472334717436747,0.004013369261124358,0.00394744176458464,0.003783531230674086,0.0035434328709838922,0.003704465353240873,0.0038220143122184003,0.0038498424478016413,0.004159538534028331,0.004042430426716144,0.004105699561209765,0.003753929675766411,0.003178979591836734,0.0029715625644197107,0.003137290985658342,0.0033952083517389754,0.004032857142857144
2,0.00246557675530099,1.0,0.9953259468531467,0.9987577535353532,0.9986667272727273,0.998651027816628,0.9983394312354311,0.9980270943278944,0.9970337420357418,0.994019272727273,0.9892263219891215,0.9855802579642576,0.9851002135198135,0.9856047297591295,0.9846481852369854,0.9831425044289044,0.98238206993007,0.9809300997668995,0.9791564500388502,0.9765815801087802,0.9728272164724165,0.9671330815850818,0.9587621075369076,0.9464834449106447,0.9298480991452993,0.9102389345765348,0.8886715928515928,0.8657520018648017,0.8431894787878791,0.8218411381507382,0.8007708487956485,0.7849907443667442,0.7775566293706295,0.7757713721833723,0.7817393013209013,0.7927370623154625,0.8025401149961149,0.8099767191919195,0.8214893951825952,0.8349565644133644,0.8328581097125098,0.8171270924630923,0.7793915515151513,0.7242551055167058,0.6497403748251747,0.5675141470085466,0.4847082937062933,0.4046087322455317,0.3293622797202791,0.2647209908313907,0.20536603760683736,0.16123617715617697,0.12191135753135716,0.09709135943421644,0.07358349016063301,0.05731967017109864,0.044342104244961315,0.033750973788116534,0.024646142746142685,0.020261176601176573,0.016014011068296773,0.012709562818134228,0.009251707340278728,0.0075105104419390355,0.006377355025926424,0.004121489621489608,0.0034149805749805807,0.004147401170258319,0.0032904089561232508,0.002419779268350671,0.0004117675974819119,0.0014278806907378526,0.002888613608613619,0.002794594294594305,0.0026067313638742083,0.0006715011972154708,0.0018191069248211851,0.0003337288108716855,0.0002167889253603433,0.0008651681651681678,0.00037912944198658017,-0.00038635713492855177,0.0005076463219320506,0.0008577035662749601,0.002023560883560879,0.0020288774717346085,0.000713930513930505,0.0009149098520527191,0.0010722829551400902,0.0006435190206618667,0.0012475083646512112,0.0005990666476380803,-0.0005763030620173281,-0.0001278854478854251,0.0001153446553446596,-0.00024191966763394316,0.00010467151895724186,0.00025407925407927416,0.001625288996717587,0.0014257701029129312,0.0003784615384615385
3,0.002010393354322346,1.0,0.9990684261482752,0.998022491328378,0.9966447528111301,0.9967955014293884,0.9974010405946254,0.9977131389365351,0.9974909891366496,0.9971902168858395,0.9968784909472078,0.9960067429007056,0.9946049338669715,0.9930232468076996,0.9915346895368785,0.9897704509243379,0.9875485020011434,0.9840297777777779,0.9812293687821609,0.9799162950257287,0.9782154838955595,0.9761604917095483,0.9727367329902802,0.9698697625309699,0.966398707451877,0.9620846304554984,0.9576524394892322,0.9521936070135315,0.9436841635220127,0.933601560510768,0.9229979344387271,0.9095860529826565,0.8943149483514391,0.875569964551172,0.8519815986277871,0.8236976687631028,0.7893272841623782,0.7479141932532876,0.7011142428054126,0.6529320068610636,0.6035323159900894,0.550773985134362,0.497680083857442,0.4455365344006098,0.4025315814751285,0.3615838078902228,0.319485372593863,0.28610369506384575,0.25487977358490554,0.22841748732609102,0.200527075662283,0.16878412426148262,0.11498848088120289,0.08924790103577153,0.06727465062640266,0.051254952295383426,0.03610847209095186,0.02853871288938671,0.021168463611859804,0.01429179433923368,0.010795874027140825,0.007372223194595154,0.005511071438295165,0.0028813343290432373,0.002127644173735772,0.0014195730893843898,0.0019605411060936843,0.004904327837481499,0.0062603812479823245,0.0054599475696510405,0.0033115346767637684,0.002516219180639649,0.002481216477442922,0.0031246239833840833,0.0032206905403670267,0.00020344764549615945,-0.000968285473137212,0.0017138150857827386,0.0006891455953450504,0.0005684826703694616,0.001144129784561053,-0.00015322380524536046,0.0014595850690190349,0.0026714631879052263,0.001963826170834223,0.00030964516166670405,0.0007303547605434308,0.0008390018786245488,0.0009800784121538762,0.00033544999474917955,-0.0007116439714822189,0.0014205236811705882,0.0011531930782604468,0.0006862098069645306,0.0005035678307915519,0.00030405479515992857,0.000933236873937694,0.00043133374561947924,0.0008260304236045427,0.0005471635881339074,-0.001547169811320755
4,0.00034138755073398323,1.0,0.9985034792368125,0.9970069584736252,0.9955104377104376,0.9909260381593715,0.9859769921436587,0.9810279461279462,0.9816050505050504,0.9836343434343432,0.9856212121212121,0.9812337822671157,0.9704679012345677,0.952594276094276,0.9311034792368125,0.9224190796857462,0.9286006734006735,0.9240808080808081,0.9050771043771042,0.884830303030303,0.878544107744108,0.8908939393939393,0.9023787878787878,0.9044765432098765,0.8916850729517396,0.8829946127946128,0.8753079685746352,0.8657337822671156,0.8534585858585859,0.8432535353535351,0.8294215488215488,0.8086919191919191,0.789383950617284,0.763826150392817,0.7388148148148148,0.7062573512906845,0.7032957351290684,0.7057060606060607,0.703829517396184,0.723390684624018,0.7431592592592593,0.7652450056116725,0.7791597081930417,0.7890154882154882,0.8002645342312009,0.8087000000000001,0.81690101010101,0.8226855218855218,0.8291783389450057,0.8338750841750842,0.837915263748597,0.8395197530864197,0.8398228956228957,0.8403539842873177,0.8414644219977553,0.8421606060606062,0.840616049382716,0.8447074074074075,0.8452898989898989,0.8435966329966329,0.8481051627384961,0.8478084175084175,0.8500769921436588,0.8559655443322111,0.8570707070707071,0.8601903479236812,0.8634416386083053,0.8672074074074074,0.8651038159371492,0.8736510662177328,0.8723659932659934,0.8718658810325476,0.8744401795735129,0.8765363636363637,0.8764524130190797,0.8778943883277216,0.8793107744107744,0.8794507295173961,0.880995061728395,0.8797518518518519,0.8787524130190797,0.8803317620650954,0.8784040404040404,0.8769964085297419,0.8789860830527498,0.8784848484848484,0.8789750841750842,0.8802471380471382,0.8806784511784511,0.8801913580246913,0.8823224466891133,0.8792747474747475,0.8791993265993266,0.8797080808080808,0.8737794612794614,0.875491470258137,0.8808728395061728,0.8743323232323232,0.8661989898989899,0.8660178451178451,0.8585777777777778
5,0.00451390205970489,1.0,0.998698088617265,0.9977852161955688,0.9965415672693315,0.9939187267634328,0.9905993769629061,0.9872852005772007,0.9830277047788807,0.9777090902300315,0.9725643997962818,0.9674127510398098,0.9604628688566335,0.9515253262032084,0.9385035501230796,0.9193214844240725,0.8926237959426194,0.8586414521687465,0.8175781991341988,0.7769392075375603,0.7418663641456581,0.7147112248535777,0.6978975742296921,0.6875236679399033,0.6749055457091928,0.6625451903913081,0.6522456115779643,0.6409239422799419,0.6292158916900096,0.6184273769629063,0.6093388279432986,0.6029553874883286,0.596168892963246,0.5858654810287749,0.5705986797385619,0.5539758865970629,0.5360804744928275,0.5144259393939395,0.49035765843307016,0.4644531700195228,0.4365882802818098,0.4072986198115608,0.37613347644512335,0.3445211679823445,0.3140972628809099,0.2844132667855021,0.2566052754435106,0.23181771903913068,0.2100219118920294,0.1912114710126475,0.17428822290128174,0.15756286393345204,0.13015266834006317,0.11445681441407726,0.10386311269096384,0.09720876662353252,0.093884695176772,0.09203602722474273,0.09147626687038456,0.09156081185721043,0.0895587388202034,0.08577194652752876,0.07932928322844283,0.071661861281309,0.06328251006030107,0.05371204845574586,0.045204740077849304,0.037743551100093656,0.03179301001785995,0.025872972219190656,0.02163026180169036,0.01754271803959676,0.014558967829556058,0.012329551387654625,0.010719331715370104,0.008775142264698079,0.0077570406517585375,0.0073279315189279165,0.0062261301057219345,0.005615887567148058,0.004854763550441816,0.004314066232553622,0.003831351934713287,0.003599640895319162,0.003387750598074718,0.003091647568118167,0.002720986576448752,0.0026778697626236607,0.0023919694284640245,0.002646179337535883,0.0023212105621469186,0.0022045022337939574,0.0021680388172585045,0.002476006160039766,0.0024493267436844863,0.002287333461523137,0.0021966221986630154,0.0022904536706457443,0.0019700039323088496,0.0017513001737491508,0.0018621848739495796
6,0.0023138489549747753,1.0,0.9983311985428052,0.9992145375062098,0.9993593813545286,0.9991162384500744,0.9987146348733232,0.9982152018546117,0.9973304812054977,0.9955133465805597,0.9935762268587514,0.9918438450074518,0.9913748166915055,0.9908356217916873,0.9899448484848485,0.9890494320251697,0.9875719340950487,0.9852735684716007,0.982300058287796,0.9782517118728268,0.9717302682563338,0.963891773472429,0.9547317940056298,0.9437577777777779,0.9306677830766684,0.9161361987083955,0.9024451978804439,0.8891326729590993,0.8761891094552079,0.8656003166087104,0.8601988782911075,0.8573835204504053,0.8553863609869186,0.8557491213777119,0.8551185868521278,0.8514935088590823,0.8441725567146879,0.8321420599436992,0.8197185335320422,0.7944788607385329,0.7563122361318098,0.7079916111939059,0.6507651717171713,0.5880592700778274,0.5215502553402879,0.45518522470607686,0.3920221261798308,0.33446118496439775,0.28013289783076645,0.2313645842026825,0.19140846862063254,0.1559519953634706,0.12867714549307027,0.10654552010570734,0.0897656714349922,0.07426557377049167,0.060577214770657334,0.04997842662151784,0.04042236415679031,0.033785711244259234,0.027911147608571434,0.02201025037933701,0.01745278411414239,0.014080617820898839,0.012173169297525249,0.010907075438222962,0.009278136331532115,0.00732297751688851,0.005574138507862147,0.004374780592813371,0.003779503634538767,0.0038562456279083927,0.003707695219170629,0.004144996637502485,0.0027640641949775273,0.0014422275616655046,0.0015447681904356351,0.0018109313273247673,0.0014438652162305358,0.0011092967142147328,0.0013338564635988542,0.0018934578302259827,0.0016276353363004466,0.000743152163995242,0.0007012442930475917,0.0012318703934629156,0.0020041444893903913,0.0010685675760617177,0.0007220941431714103,0.00010018214936247268,0.0003863391357536707,0.0008566606175505558,0.0009382682630926135,0.0008769853097721523,0.0005518777605428608,0.000405207984833277,0.0008759921057344997,0.0007469455342991524,0.0006446445045976674,0.0010426293716691726,0.00031311475409836055
7,0.0032621477070136178,1.0,0.9992219264740421,0.9988469532534651,0.9985573152454784,0.9982818646934458,0.998062101245008,0.997461581395349,0.9961571524547805,0.9936823340380555,0.9892274348132494,0.9818319943622273,0.9736195226685461,0.9684433258163027,0.9650883319238899,0.96077170260747,0.956285429880197,0.9526831999060374,0.9490788569415083,0.9442209997650928,0.936129819591261,0.9249378552971576,0.9116944308198257,0.8939327676767679,0.8699097028423775,0.8419837946910971,0.8094954193093727,0.7746623274606527,0.7379656964998822,0.700704708010336,0.666207473572939,0.6331415245478035,0.6055911585623679,0.5826710415785765,0.5644771940333569,0.5514799276485786,0.5420020718816067,0.5362418346253233,0.5337249729856709,0.5309578975804559,0.5260770180878552,0.5175303312191681,0.504418548273432,0.4861411905097485,0.46085774019262377,0.42579468498942913,0.3821071517500585,0.33548895419309355,0.28872265069297615,0.2441050054028658,0.20035736669015725,0.15998588207657963,0.11456094092323299,0.08493864631123761,0.06031080669054092,0.04329250669964944,0.02965177139213681,0.02123305048587434,0.015987321722205416,0.010902397012363795,0.00734554107760087,0.005645113210893941,0.004677282555023414,0.00364254505184737,0.002766543460231157,0.0015205543810195103,0.001956464982046384,0.0017733164583662924,0.0007877522256259737,0.0009595590456055485,0.0007409356977463214,8.622460964654223e-05,0.0006646347192858747,9.797955827856084e-05,-0.00026569875307417033,-0.00017961532745585632,0.000291491085511029,0.0011732824207907242,0.0002776761444535428,0.00013718245578710875,0.00046021342998087394,0.0003627676863557232,0.0003063604723073189,0.00044523761583563067,0.0005708254831178375,0.000210260890825671,7.903788717742284e-05,-0.000312648554841237,0.000382866395324876,0.00020540142766054987,5.6797207960012544e-05,0.00022162248972879085,0.00017193506014104176,0.0003413369576160256,-0.0002301675991044878,-0.000557154123100968,-8.364806105669118e-05,0.00010640649494469906,9.894771157228764e-05,-0.00012331118493909003,0.0008569767441860465
8,0.001479346053180594,1.0,0.998833537943538,0.9976851613571613,0.9967520999741001,0.9966884775964774,0.9968611603211599,0.9971849479409477,0.9974382398342394,0.9974215384615385,0.9972188044548042,0.9969549287749288,0.996667174307174,0.9964032323232325,0.996078878010878,0.9954592727272729,0.9947566174566171,0.9938801657601658,0.9929925345765344,0.9918527231287232,0.9903331955451957,0.9887278269878271,0.9871177990157989,0.9855781103341104,0.9842454695674697,0.9832908624708625,0.9820154752654755,0.981262760942761,0.9816208453768456,0.9812404962444962,0.9810098425278425,0.9811182750582751,0.9802377741517742,0.9786377456617459,0.9765140518000519,0.972475342139342,0.9666782128982127,0.9594256244496244,0.9475766402486402,0.9305267226107224,0.9117142714322714,0.8882207977207978,0.8588998886298884,0.8213463082103081,0.7741129065009065,0.7136982066822065,0.6447420150220148,0.5690826521626519,0.478605827505827,0.3833084983164982,0.2885979088319087,0.19931406371406338,0.10633055621626997,0.06995381073952486,0.04101238708381564,0.025536331393474148,0.01348322629751197,0.007871063856778061,0.004321393421393381,0.0034951651523080565,0.0037527805527805646,0.00300845609417036,-0.0002915893630179677,0.0008041958041958037,0.0011260739260738944,8.961778961780801e-05,-0.00012733721305147134,0.0004948844805987422,-0.0016134865134865273,-0.00019693163978877167,-0.0011444994159279563,-0.001308286422572105,-0.0015095460095459893,0.0018872355158069325,0.0012656999085570017,-0.00016163783306640984,0.0006768348054061466,0.0011223580652152075,0.0005189308046450925,0.0011274207274207014,0.0006689511546654228,0.0015794755509041132,0.0010961979819123053,0.00039019604733888595,-0.0003782355210927106,0.0007771107199678889,-0.0013079661079661215,-0.0017833293690436712,-0.001082085110656504,-0.0001628080913795777,-0.0008949997092853379,4.8186205329078524e-05,1.2898212898211026e-05,-0.0013400821400821352,0.0009712092140663775,0.00029664726807586146,0.0013650920508063566,0.001165211508068676,0.003610249538820984,0.0006407423264565995,0.0010615384615384616
9,0.003224215756932064,1.0,0.9995884377896613,0.9992648052287582,0.9982683650623886,0.9970548972073678,0.9957233060011889,0.9936568004753417,0.9899837535353536,0.9831365081402259,0.9718520382650031,0.9530638906714199,0.9386918809269168,0.9313949081402259,0.9246733245395127,0.9175824627450975,0.9119649209744506,0.9084814478906713,0.9038630619132506,0.8950746300653594,0.8800931479500891,0.8592115555555552,0.8316038155674391,0.795604427332145,0.7544927588829472,0.7075819341651814,0.6578266131907309,0.607158862982769,0.5616788606060603,0.5243923317884726,0.49267230160427805,0.46949848128342236,0.4538282043969103,0.4434894873440284,0.4387096834224599,0.44074877670825907,0.4492054581105171,0.4623698310160428,0.4788195926322043,0.48922584812834213,0.4931182942364825,0.49048322281639917,0.4784778060606059,0.4563900159239454,0.4259302467023172,0.3879833925133689,0.34608006417112286,0.3018450039215683,0.26038340083184786,0.22275858823529426,0.18877092810457513,0.15751181224004748,0.13154437678101513,0.11087476930165992,0.09446218075108831,0.07947151515151508,0.06675321643809036,0.05630994628154285,0.046548051948051894,0.037920110832211654,0.0313624967562782,0.02582199619241633,0.021501126268689264,0.017417739944462614,0.013708922356821479,0.010830528817587623,0.008874873100755446,0.007146208544023661,0.00545631003916718,0.004913904713400501,0.004172464137170012,0.0031164739835327976,0.0026901791019437967,0.002030894782155282,0.0017009880315762649,0.0019953469872797587,0.0017260683667406312,0.00141942595219906,0.0010563347763347837,0.0010433104150751231,0.0007684377993621646,0.0007110708525834581,0.00039499072356214906,0.000629347011531885,0.00014788121309129227,0.00011187747826402529,0.00034300993124522456,0.00047155735021281225,0.00039706549286381686,0.0003947904010088907,0.0003223160779463276,0.0004117174142384216,0.00046103435313519066,0.0007566064001358098,0.00045250294057017245,0.00045806565050263734,0.0005384221567414853,0.0005539182945905579,0.0003163381716322822,0.00016416627256963167,-5.764705882352946e-05
