index,typicality_score
0,0.037486394297420546
1,0.040125381118976865
2,0.032647698515697585
3,0.0172429162432058
4,0.02075910132259625
5,0.02210916727887253
6,0.03673161703873749
7,0.02739888257327108
8,0.02825409863143349
9,0.01988250886170113
10,0.021923326112549036
11,0.01723760540598214
12,0.024114217262325648
13,0.03569486300623525
14,0.0318719069447215
15,0.04332455922307419
16,0.030399867956143297
17,0.046757635746054786
18,0.02032859953141718
19,0.03817152561065756
20,0.034644083604525096
21,0.03468475726892841
22,0.01960676450762396
23,0.027954612022166307
24,0.027674624199805504
25,0.05867721140571353
26,0.04256380216170452
27,0.026168734025526028
28,0.023383050162857313
29,0.01915261432909743
30,0.01744785096229842
31,0.021892166925795462
32,0.047559380049226586
33,0.051733945136159136
34,0.02841637671824941
35,0.03625020670553926
36,0.020551979845330075
37,0.015531679569749152
38,0.029948189222404192
39,0.020492043223065155
40,0.02762375778607917
41,0.04024481047438754
42,0.06044853229992084
43,0.023868031322362926
44,0.024260799044912677
45,0.020850945333377863
46,0.02238998786801831
47,0.038482539661274344
48,0.019964759375138252
49,0.023091084599395056
50,0.018222857710607807
51,0.03436628859346582
52,0.017569644686761487
53,0.031823641456282165
54,0.029236948574049352
55,0.029952725660821484
56,0.02794522231883962
57,0.023407952096896615
58,0.020390302605793616
59,0.03985926373209094
60,0.0430290273492162
61,0.0228006429756603
62,0.026753234253594722
63,0.02681469132876653
64,0.02344876083805222
65,0.027459193139502333
66,0.05393883001720823
67,0.021724483402742113
68,0.03193866464742945
69,0.02128675825197547
70,0.020590661557438467
71,0.048406622656284495
72,0.019359900731536542
73,0.028197293767759677
74,0.018308739605594943
75,0.02883987277021705
76,0.06227454427296626
77,0.028788560730370377
78,0.01976180669452547
79,0.016798158698642023
80,0.04419743495067947
81,0.0330813683057481
82,0.028779478255796104
83,0.02959499215537151
84,0.035556533950152125
85,0.02409821535689707
86,0.027357283686532508
87,0.019859834193702745
88,0.026269879515110162
89,0.05378017627671126
90,0.026907913061063583
91,0.05034268697618873
92,0.028498740761672317
93,0.037422669792736785
94,0.050759852856944135
95,0.031777007648577514
96,0.04231873998579129
97,0.03027348457430913
98,0.01851534481681945
99,0.02369609625039699
100,0.051053315415001306
101,0.021953459682817894
102,0.021756942537140476
103,0.019223596869299454
104,0.09193062505571263
105,0.03361630123339263
106,0.03627394774531723
107,0.03782889072362666
108,0.025607830700670117
109,0.020349189908628308
110,0.023447959147522273
111,0.021308924038889412
112,0.0470373773028718
113,0.01694629282224839
114,0.052881012652379454
115,0.021215727574508483
116,0.024845408632400316
117,0.04246574921619693
118,0.022838597112514483
119,0.019837326559008276
