emdb_id
EMD-50535
EMD-50198
EMD-45158
EMD-44981
EMD-60725
EMD-48623
EMD-48804
EMD-53298
EMD-49612
EMD-45593
EMD-45616
EMD-46642
EMD-51570
EMD-44876
EMD-62611
EMD-44781
EMD-60790
EMD-29830
EMD-48806
EMD-29828
EMD-51686
EMD-46633
EMD-49613
EMD-45595
EMD-61779
EMD-44895
EMD-50197
EMD-48809
EMD-70434
EMD-44888
EMD-60042
EMD-38018
EMD-62042
EMD-53153
EMD-50532
EMD-19564
EMD-53282
EMD-44763
EMD-49609
EMD-50196
EMD-44875
EMD-38002
EMD-63701
EMD-44886
EMD-19537
EMD-18799
EMD-46032
EMD-46034
EMD-46023
EMD-50534
EMD-44654
EMD-19531
EMD-60092
EMD-44879
EMD-46020
EMD-18795
EMD-37999
EMD-60839
EMD-60085
EMD-60041
EMD-38000
EMD-61775
EMD-61778
EMD-51681
EMD-44980
EMD-50193
EMD-46021
EMD-49525
EMD-44779
EMD-48810
EMD-49619
EMD-61851
EMD-51682
EMD-46580
EMD-53384
EMD-18796
EMD-50742
EMD-64089
EMD-60791
EMD-46024
EMD-44998
EMD-61773
EMD-50643
EMD-37998
EMD-62037
EMD-60086
EMD-53281
EMD-38626
EMD-18800
EMD-44777
EMD-19536
EMD-62041
EMD-50186
EMD-51571
EMD-50610
EMD-49610
EMD-45592
EMD-48808
EMD-46031
EMD-44874
EMD-51687
EMD-50435
EMD-42790
EMD-44754
EMD-61047
EMD-62500
EMD-52920
EMD-44828
EMD-19533
EMD-70072
EMD-44884
EMD-38627
EMD-46028
EMD-44756
EMD-48532
EMD-49523
EMD-44878
EMD-44994
EMD-49616
EMD-39878
EMD-61777
EMD-60043
EMD-38008
EMD-18797
EMD-44984
EMD-44780
EMD-60526
EMD-62034
EMD-46850
EMD-18798
EMD-38628
EMD-46635
EMD-50192
EMD-50191
EMD-29811
EMD-49615
EMD-51684
EMD-46643
EMD-48533
EMD-60605
EMD-46038
EMD-50187
EMD-44987
EMD-60936
EMD-44983
EMD-38001
EMD-46037
EMD-70431
EMD-70432
EMD-60030
EMD-60025
EMD-60694
EMD-45596
EMD-45187
EMD-48805
EMD-44997
EMD-61772
EMD-45188
EMD-44986
EMD-48807
EMD-49606
EMD-44797
EMD-53291
EMD-62038
EMD-60937
EMD-53377
EMD-49617
EMD-46026
EMD-60935
EMD-44755
EMD-62036
EMD-44887
EMD-60789
EMD-46033
EMD-44990
EMD-19538
EMD-60040
EMD-51685
EMD-70073
EMD-19534
EMD-46636
EMD-49618
EMD-46029
EMD-53283
EMD-39284
EMD-48803
EMD-44880
EMD-46030
EMD-52921
EMD-49608
EMD-49605
EMD-62040
EMD-61774
EMD-19530
EMD-19532
EMD-61776
EMD-61771
EMD-53234
EMD-49611
EMD-60029
EMD-46009
EMD-51683
EMD-45594
EMD-44996
EMD-29829
EMD-46035
EMD-49614
EMD-51569
EMD-44877
EMD-45157
EMD-60724
EMD-50609
EMD-44989
EMD-49620
EMD-19535
EMD-62035
EMD-44744
EMD-60751
EMD-44993
EMD-51568
EMD-44885
EMD-62033
EMD-49607
EMD-46634
EMD-44778
EMD-51688
EMD-48446
EMD-29831
EMD-53347
EMD-62039
EMD-60525
EMD-44982
EMD-53304
